"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"1",6443,1,93,465,4,5,2,0.3,69.2795698924731,13.8559139784946,0.0537634408602151
"2",2567,1,50,250,4,5,2,0.3,51.34,10.268,0.1
"3",4735,1,100,400,1,2,2,0,47.35,11.8375,0.02
"4",13907,1,105,630,4,8,2,0,132.447619047619,22.0746031746032,0.0761904761904762
"5",13532,1,150,600,1,2,2,0,90.2133333333333,22.5533333333333,0.0133333333333333
"6",2804,1,250,500,2,2,1,0,11.216,5.608,0.008
"7",3850,1,55,110,2,2,1,0,70,35,0.0363636363636364
"8",5369,1,78,156,2,3,2,0.17,68.8333333333333,34.4166666666667,0.0384615384615385
"9",6673,1,73,365,3,5,2,0.1,91.4109589041096,18.2821917808219,0.0684931506849315
"10",2712,1,90,90,2,2,1,0,30.1333333333333,30.1333333333333,0.0222222222222222
"11",5853,1,89,178,2,4,2,0,65.7640449438202,32.8820224719101,0.0449438202247191
"12",3655,1,59,236,1,2,2,0,61.9491525423729,15.4872881355932,0.0338983050847458
"13",4390,1,191,573,2,3,2,0.17,22.9842931937173,7.66143106457243,0.0157068062827225
"14",1248,1,100,100,1,1,1,0,12.48,12.48,0.01
"15",1085,1,54,162,3,4,2,0.25,20.0925925925926,6.69753086419753,0.0740740740740741
"16",3687,1,80,320,1,2,2,0,46.0875,11.521875,0.025
"17",1293,1,100,200,1,1,1,0,12.93,6.465,0.01
"18",8191,1,205,820,1,2,2,0,39.9560975609756,9.9890243902439,0.00975609756097561
"19",4075,1,150,150,1,1,1,0,27.1666666666667,27.1666666666667,0.00666666666666667
"20",2920,1,70,140,2,4,2,0,41.7142857142857,20.8571428571429,0.0571428571428571
"21",4433,1,73,292,1,2,2,0,60.7260273972603,15.1815068493151,0.0273972602739726
"22",2867,1,108,324,2,4,2,0,26.5462962962963,8.84876543209877,0.037037037037037
"23",2948,1,69,138,1,2,2,0,42.7246376811594,21.3623188405797,0.0289855072463768
"24",6026,1,152,608,3,4,2,0.25,39.6447368421053,9.91118421052632,0.0263157894736842
"25",2251,1,100,200,1,1,1,0,22.51,11.255,0.01
"26",4504,1,100,400,1,1,1,0,45.04,11.26,0.01
"27",4024,1,65,260,2,4,2,0,61.9076923076923,15.4769230769231,0.0615384615384615
"28",4001,1,105,210,3,4,2,0.25,38.1047619047619,19.052380952381,0.0380952380952381
"29",3765,1,87,174,3,4,2,0.25,43.2758620689655,21.6379310344828,0.0459770114942529
"30",2992,1,200,200,1,1,1,0,14.96,14.96,0.005
"31",4615,1,100,400,1,2,2,0,46.15,11.5375,0.02
"32",9475,1,80,320,4,5,2,0.3,118.4375,29.609375,0.0625
"33",1440,1,44,44,1,1,1,0,32.7272727272727,32.7272727272727,0.0227272727272727
"34",1683,1,72,144,2,2,1,0,23.375,11.6875,0.0277777777777778
"35",843,1,100,100,2,2,1,0,8.43,8.43,0.02
"36",1641,1,50,200,1,2,2,0,32.82,8.205,0.04
"37",3525,1,59,118,1,2,2,0,59.7457627118644,29.8728813559322,0.0338983050847458
"38",3104,1,90,270,1,1,1,0,34.4888888888889,11.4962962962963,0.0111111111111111
"39",1165,1,40,40,2,2,1,0,29.125,29.125,0.05
"40",11693,1,200,400,2,3,2,0.17,58.465,29.2325,0.015
"41",4383,1,65,260,6,7,2,0.36,67.4307692307692,16.8576923076923,0.107692307692308
"42",8888,1,100,300,6,6,1,0,88.88,29.6266666666667,0.06
"43",2010,1,70,210,3,4,2,0.25,28.7142857142857,9.57142857142857,0.0571428571428571
"44",9480,1,100,500,3,4,2,0.25,94.8,18.96,0.04
"45",13732,1,343,1372,3,4,2,0.25,40.0349854227405,10.0087463556851,0.0116618075801749
"46",7194,1,100,300,1,2,2,0,71.94,23.98,0.02
"47",2627,1,50,150,3,3,1,0,52.54,17.5133333333333,0.06
"48",1696,1,100,100,1,1,1,0,16.96,16.96,0.01
"49",8772,1,110,330,1,2,2,0,79.7454545454545,26.5818181818182,0.0181818181818182
"50",4779,1,45,180,2,4,2,0,106.2,26.55,0.0888888888888889
"51",3901,1,58,174,6,6,1,0,67.2586206896552,22.4195402298851,0.103448275862069
"52",9615,1,85,340,2,3,2,0.17,113.117647058824,28.2794117647059,0.0352941176470588
"53",5373,1,57,285,6,7,2,0.36,94.2631578947368,18.8526315789474,0.12280701754386
"54",6053,1,144,288,1,2,2,0,42.0347222222222,21.0173611111111,0.0138888888888889
"55",2262,1,63,252,2,3,2,0.17,35.9047619047619,8.97619047619048,0.0476190476190476
"56",3391,1,281,843,4,5,2,0.3,12.067615658363,4.02253855278766,0.0177935943060498
"57",1779,1,98,98,1,1,1,0,18.1530612244898,18.1530612244898,0.0102040816326531
"58",921,1,49,49,1,1,1,0,18.7959183673469,18.7959183673469,0.0204081632653061
"59",1265,1,30,60,2,2,1,0,42.1666666666667,21.0833333333333,0.0666666666666667
"60",6688,1,207,1035,4,5,2,0.3,32.3091787439614,6.46183574879227,0.0241545893719807
"61",3729,1,35,140,2,4,2,0,106.542857142857,26.6357142857143,0.114285714285714
"62",2446,1,50,100,1,2,2,0,48.92,24.46,0.04
"63",2529,1,150,300,1,2,2,0,16.86,8.43,0.0133333333333333
"64",4597,1,100,200,2,2,1,0,45.97,22.985,0.02
"65",8361,1,83,415,6,8,2,0.25,100.734939759036,20.1469879518072,0.0963855421686747
"66",2754,1,44,176,1,2,2,0,62.5909090909091,15.6477272727273,0.0454545454545455
"67",4345,1,100,400,3,6,2,0,43.45,10.8625,0.06
"68",3229,1,51,255,4,6,2,0.17,63.3137254901961,12.6627450980392,0.117647058823529
"69",1372,1,40,160,1,2,2,0,34.3,8.575,0.05
"70",608,1,50,50,1,1,1,0,12.16,12.16,0.02
"71",5153,1,150,300,1,1,1,0,34.3533333333333,17.1766666666667,0.00666666666666667
"72",1470,1,40,160,2,4,2,0,36.75,9.1875,0.1
"73",5881,1,81,243,1,2,2,0,72.6049382716049,24.201646090535,0.0246913580246914
"74",4410,1,70,140,3,5,2,0.1,63,31.5,0.0714285714285714
"75",7618,1,350,700,1,2,2,0,21.7657142857143,10.8828571428571,0.00571428571428571
"76",2714,1,50,100,1,1,1,0,54.28,27.14,0.02
"77",1292,1,40,120,2,3,2,0.17,32.3,10.7666666666667,0.075
"78",4583,1,63,189,6,6,1,0,72.7460317460317,24.2486772486773,0.0952380952380952
"79",1310,1,65,130,1,1,1,0,20.1538461538462,10.0769230769231,0.0153846153846154
"80",3232,1,120,240,1,2,2,0,26.9333333333333,13.4666666666667,0.0166666666666667
"81",1159,1,66,66,1,1,1,0,17.5606060606061,17.5606060606061,0.0151515151515152
"82",10171,1,103,412,2,3,2,0.17,98.747572815534,24.6868932038835,0.029126213592233
"83",673,1,40,80,1,1,1,0,16.825,8.4125,0.025
"84",4322,1,58,232,1,2,2,0,74.5172413793103,18.6293103448276,0.0344827586206897
"85",6754,1,200,400,3,4,2,0.25,33.77,16.885,0.02
"86",3817,1,50,150,3,3,1,0,76.34,25.4466666666667,0.06
"87",3926,1,50,250,1,3,3,0,78.52,15.704,0.06
"88",1763,1,100,100,1,1,1,0,17.63,17.63,0.01
"89",10073,1,450,900,1,2,2,0,22.3844444444444,11.1922222222222,0.00444444444444444
"90",3957,1,51,204,1,2,2,0,77.5882352941177,19.3970588235294,0.0392156862745098
"91",440,1,30,60,1,1,1,0,14.6666666666667,7.33333333333333,0.0333333333333333
"92",5784,1,60,180,6,6,1,0,96.4,32.1333333333333,0.1
"93",1772,1,30,60,2,3,2,0.17,59.0666666666667,29.5333333333333,0.1
"94",3194,1,68,272,1,2,2,0,46.9705882352941,11.7426470588235,0.0294117647058824
"95",2571,1,62,124,4,6,2,0.17,41.4677419354839,20.7338709677419,0.0967741935483871
"96",1000,1,30,30,2,2,1,0,33.3333333333333,33.3333333333333,0.0666666666666667
"97",3738,1,50,250,3,4,2,0.25,74.76,14.952,0.08
"98",700,1,42,84,1,1,1,0,16.6666666666667,8.33333333333333,0.0238095238095238
"99",1019,1,30,60,1,1,1,0,33.9666666666667,16.9833333333333,0.0333333333333333
"100",2035,1,40,80,1,2,2,0,50.875,25.4375,0.05
"101",2601,1,60,240,1,2,2,0,43.35,10.8375,0.0333333333333333
"102",4441,1,140,280,2,3,2,0.17,31.7214285714286,15.8607142857143,0.0214285714285714
"103",1918,1,80,80,1,1,1,0,23.975,23.975,0.0125
"104",521,1,45,45,1,1,1,0,11.5777777777778,11.5777777777778,0.0222222222222222
"105",2379,1,50,300,1,2,2,0,47.58,7.93,0.04
"106",700,1,60,120,2,3,2,0.17,11.6666666666667,5.83333333333333,0.05
"107",2643,1,101,404,1,2,2,0,26.1683168316832,6.54207920792079,0.0198019801980198
"108",1810,1,56,112,1,1,1,0,32.3214285714286,16.1607142857143,0.0178571428571429
"109",2754,1,100,200,1,2,2,0,27.54,13.77,0.02
"110",3587,1,58,116,1,2,2,0,61.8448275862069,30.9224137931034,0.0344827586206897
"111",3567,1,40,160,1,2,2,0,89.175,22.29375,0.05
"112",1409,1,40,160,1,2,2,0,35.225,8.80625,0.05
"113",3560,1,176,352,1,2,2,0,20.2272727272727,10.1136363636364,0.0113636363636364
"114",753,1,60,60,1,1,1,0,12.55,12.55,0.0166666666666667
"115",3812,1,66,132,1,2,2,0,57.7575757575758,28.8787878787879,0.0303030303030303
"116",1137,1,35,70,2,2,1,0,32.4857142857143,16.2428571428571,0.0571428571428571
"117",2088,1,50,100,1,2,2,0,41.76,20.88,0.04
"118",3493,1,41,164,1,2,2,0,85.1951219512195,21.2987804878049,0.0487804878048781
"119",526,1,64,64,1,1,1,0,8.21875,8.21875,0.015625
"120",9297,1,109,436,3,5,2,0.1,85.2935779816514,21.3233944954128,0.0458715596330275
"121",4285,1,40,200,3,4,2,0.25,107.125,21.425,0.1
"122",1230,1,50,100,2,2,1,0,24.6,12.3,0.04
"123",2153,1,45,90,1,2,2,0,47.8444444444444,23.9222222222222,0.0444444444444444
"124",2161,1,51,204,2,4,2,0,42.3725490196078,10.593137254902,0.0784313725490196
"125",1736,1,38,76,1,1,1,0,45.6842105263158,22.8421052631579,0.0263157894736842
"126",2037,1,92,184,1,2,2,0,22.1413043478261,11.070652173913,0.0217391304347826
"127",1005,1,50,100,2,2,1,0,20.1,10.05,0.04
"128",427,1,40,80,2,2,1,0,10.675,5.3375,0.05
"129",658,1,38,76,1,1,1,0,17.3157894736842,8.6578947368421,0.0263157894736842
"130",2464,1,35,140,1,2,2,0,70.4,17.6,0.0571428571428571
"131",855,1,30,120,1,2,2,0,28.5,7.125,0.0666666666666667
"132",2427,1,78,156,1,2,2,0,31.1153846153846,15.5576923076923,0.0256410256410256
"133",8812,1,115,690,6,7,2,0.36,76.6260869565217,12.7710144927536,0.0608695652173913
"134",1838,1,50,100,1,2,2,0,36.76,18.38,0.04
"135",795,1,56,112,3,3,1,0,14.1964285714286,7.09821428571429,0.0535714285714286
"136",1730,1,51,204,1,2,2,0,33.921568627451,8.48039215686275,0.0392156862745098
"137",1472,1,75,150,2,2,1,0,19.6266666666667,9.81333333333333,0.0266666666666667
"138",1651,1,50,50,1,1,1,0,33.02,33.02,0.02
"139",2435,1,45,180,1,2,2,0,54.1111111111111,13.5277777777778,0.0444444444444444
"140",8426,1,88,264,4,5,2,0.3,95.75,31.9166666666667,0.0568181818181818
"141",2778,1,40,120,2,3,2,0.17,69.45,23.15,0.075
"142",5724,1,120,720,6,6,1,0,47.7,7.95,0.05
"143",4408,1,80,160,2,2,1,0,55.1,27.55,0.025
"144",1087,1,50,100,1,1,1,0,21.74,10.87,0.02
"145",502,1,50,100,2,2,1,0,10.04,5.02,0.04
"146",5468,1,70,280,2,4,2,0,78.1142857142857,19.5285714285714,0.0571428571428571
"147",1582,1,50,100,1,2,2,0,31.64,15.82,0.04
"148",3522,1,100,200,1,2,2,0,35.22,17.61,0.02
"149",5962,1,41,205,2,4,2,0,145.414634146341,29.0829268292683,0.0975609756097561
"150",2506,1,70,140,1,2,2,0,35.8,17.9,0.0285714285714286
"151",10576,1,61,427,2,3,2,0.17,173.377049180328,24.768149882904,0.0491803278688525
"152",1435,1,55,220,1,2,2,0,26.0909090909091,6.52272727272727,0.0363636363636364
"153",1577,1,33,66,1,1,1,0,47.7878787878788,23.8939393939394,0.0303030303030303
"154",2613,1,90,360,1,2,2,0,29.0333333333333,7.25833333333333,0.0222222222222222
"155",2115,1,70,350,2,3,2,0.17,30.2142857142857,6.04285714285714,0.0428571428571429
"156",1161,1,50,50,1,1,1,0,23.22,23.22,0.02
"157",1877,1,84,336,1,2,2,0,22.3452380952381,5.58630952380952,0.0238095238095238
"158",1634,1,55,110,1,2,2,0,29.7090909090909,14.8545454545455,0.0363636363636364
"159",2101,1,34,68,1,2,2,0,61.7941176470588,30.8970588235294,0.0588235294117647
"160",6349,1,80,560,3,5,2,0.1,79.3625,11.3375,0.0625
"161",788,1,37,148,1,2,2,0,21.2972972972973,5.32432432432432,0.0540540540540541
"162",1874,1,80,160,3,3,1,0,23.425,11.7125,0.0375
"163",957,1,63,63,1,1,1,0,15.1904761904762,15.1904761904762,0.0158730158730159
"164",819,1,40,80,2,2,1,0,20.475,10.2375,0.05
"165",4788,1,220,880,1,2,2,0,21.7636363636364,5.44090909090909,0.00909090909090909
"166",1744,1,75,225,2,3,2,0.17,23.2533333333333,7.75111111111111,0.04
"167",1556,1,44,220,2,3,2,0.17,35.3636363636364,7.07272727272727,0.0681818181818182
"168",2600,1,42,84,2,2,1,0,61.9047619047619,30.952380952381,0.0476190476190476
"169",707,1,30,30,1,1,1,0,23.5666666666667,23.5666666666667,0.0333333333333333
"170",4548,1,49,245,3,4,2,0.25,92.8163265306122,18.5632653061224,0.0816326530612245
"171",1899,1,44,132,2,3,2,0.17,43.1590909090909,14.3863636363636,0.0681818181818182
"172",1802,1,40,80,1,1,1,0,45.05,22.525,0.025
"173",329,1,42,42,1,1,1,0,7.83333333333333,7.83333333333333,0.0238095238095238
"174",1266,1,50,50,2,2,1,0,25.32,25.32,0.04
"175",2757,1,49,294,2,4,2,0,56.265306122449,9.37755102040816,0.0816326530612245
"176",515,1,89,89,1,1,1,0,5.78651685393258,5.78651685393258,0.0112359550561798
"177",2200,1,40,80,2,3,2,0.17,55,27.5,0.075
"178",1086,1,75,75,2,2,1,0,14.48,14.48,0.0266666666666667
"179",1933,1,160,160,4,4,1,0,12.08125,12.08125,0.025
"180",357,1,51,51,1,1,1,0,7,7,0.0196078431372549
"181",819,1,33,66,2,3,2,0.17,24.8181818181818,12.4090909090909,0.0909090909090909
"182",607,1,40,80,1,2,2,0,15.175,7.5875,0.05
"183",1246,1,38,114,2,3,2,0.17,32.7894736842105,10.9298245614035,0.0789473684210526
"184",4556,1,105,525,2,4,2,0,43.3904761904762,8.67809523809524,0.0380952380952381
"185",6566,1,130,780,6,7,2,0.36,50.5076923076923,8.41794871794872,0.0538461538461538
"186",9092,1,322,966,2,3,2,0.17,28.2360248447205,9.4120082815735,0.0093167701863354
"187",3097,1,44,132,1,2,2,0,70.3863636363636,23.4621212121212,0.0454545454545455
"188",4601,1,67,469,5,6,2,0.33,68.6716417910448,9.81023454157783,0.0895522388059701
"189",1237,1,34,136,2,3,2,0.17,36.3823529411765,9.09558823529412,0.0882352941176471
"190",689,1,37,74,1,2,2,0,18.6216216216216,9.31081081081081,0.0540540540540541
"191",288,1,32,32,2,2,1,0,9,9,0.0625
"192",730,1,43,43,1,1,1,0,16.9767441860465,16.9767441860465,0.0232558139534884
"193",2488,1,400,400,2,2,1,0,6.22,6.22,0.005
"194",3613,1,50,200,1,2,2,0,72.26,18.065,0.04
"195",2537,1,30,120,1,2,2,0,84.5666666666667,21.1416666666667,0.0666666666666667
"196",710,1,40,40,1,1,1,0,17.75,17.75,0.025
"197",2793,1,50,100,2,4,2,0,55.86,27.93,0.08
"198",869,1,30,90,2,3,2,0.17,28.9666666666667,9.65555555555556,0.1
"199",2000,1,46,230,2,3,2,0.17,43.4782608695652,8.69565217391304,0.0652173913043478
"200",3797,1,100,500,6,9,2,0.17,37.97,7.594,0.09
"201",1904,1,150,150,1,1,1,0,12.6933333333333,12.6933333333333,0.00666666666666667
"202",1231,1,30,120,1,2,2,0,41.0333333333333,10.2583333333333,0.0666666666666667
"203",2371,1,32,128,1,2,2,0,74.09375,18.5234375,0.0625
"204",1919,1,50,100,1,2,2,0,38.38,19.19,0.04
"205",572,1,30,60,1,1,1,0,19.0666666666667,9.53333333333333,0.0333333333333333
"206",808,1,125,125,1,1,1,0,6.464,6.464,0.008
"207",8517,1,400,1600,2,4,2,0,21.2925,5.323125,0.01
"208",2239,1,58,290,6,7,2,0.36,38.6034482758621,7.72068965517241,0.120689655172414
"209",1287,1,24,96,1,2,2,0,53.625,13.40625,0.0833333333333333
"210",1138,1,50,100,1,1,1,0,22.76,11.38,0.02
"211",4994,1,100,300,1,2,2,0,49.94,16.6466666666667,0.02
"212",1136,1,85,85,2,2,1,0,13.3647058823529,13.3647058823529,0.0235294117647059
"213",3490,1,35,175,5,8,2,0.13,99.7142857142857,19.9428571428571,0.228571428571429
"214",710,1,40,80,2,2,1,0,17.75,8.875,0.05
"215",1652,1,50,200,1,2,2,0,33.04,8.26,0.04
"216",793,1,53,53,3,3,1,0,14.9622641509434,14.9622641509434,0.0566037735849057
"217",1380,1,30,60,2,4,2,0,46,23,0.133333333333333
"218",1962,1,68,68,1,1,1,0,28.8529411764706,28.8529411764706,0.0147058823529412
"219",1534,1,69,69,1,1,1,0,22.231884057971,22.231884057971,0.0144927536231884
"220",631,1,48,48,1,1,1,0,13.1458333333333,13.1458333333333,0.0208333333333333
"221",2716,1,48,192,2,3,2,0.17,56.5833333333333,14.1458333333333,0.0625
"222",686,1,35,35,4,4,1,0,19.6,19.6,0.114285714285714
"223",4248,1,500,1000,1,2,2,0,8.496,4.248,0.004
